name,sku,category,regular_price,sale_price,stock,brand,collections,short_description,full_description,fabric,occasion,stitching_type,is_published,is_featured,is_new_arrival,is_best_seller,is_sale,seo_title,seo_description,variant_sku,size,colour,variant_stock
Everyday Cotton Kurti,BAN-KUR-001,Kurtis,2200,,25,Bandhan,Kurti Collection,Everyday cotton kurti,Breathable kurti for daily wear,Cotton,Casual,Stitched,true,false,true,true,false,Everyday Cotton Kurti,Cotton daily kurti,BAN-KUR-001-M-I,M,Ivory,25
Burgundy Embroidered Kurti,BAN-KUR-002,Kurtis,3200,2800,20,Bandhan,Kurti Collection|Sale,Embroidered kurti,Burgundy kurti with subtle embroidery,Cotton silk,Party,Stitched,true,true,true,false,true,Burgundy Embroidered Kurti,Embroidered burgundy kurti,BAN-KUR-002-L-B,L,Burgundy,20
Evening Gown Rose,BAN-GOW-001,Gowns,8800,7600,7,Bandhan,Party Wear,Evening gown,Flowing rose gown for evening events,Georgette,Party,Stitched,true,true,true,true,true,Evening Gown Rose,Rose evening gown,BAN-GOW-001-M-R,M,Rose,7
Classic Black Gown,BAN-GOW-002,Gowns,9200,,6,Bandhan,Party Wear,Classic black gown,Formal gown with modest premium silhouette,Crepe,Party,Stitched,true,false,false,true,false,Classic Black Gown,Black formal gown,BAN-GOW-002-L-C,L,Charcoal,6
Unstitched Floral Fabric,BAN-FAB-001,Unstitched Fabric,1800,,40,Bandhan,Unstitched Fabric,Floral fabric,Soft floral fabric for custom stitching,Cotton,Casual,Unstitched,true,false,true,false,false,Unstitched Floral Fabric,Floral fabric,BAN-FAB-001-F-P,Free,Printed,40
Premium Silk Fabric,BAN-FAB-002,Unstitched Fabric,4200,3800,22,Bandhan,Unstitched Fabric|Sale,Premium silk fabric,Luxury silk fabric for custom outfits,Silk,Wedding,Unstitched,true,true,false,true,true,Premium Silk Fabric,Silk fabric,BAN-FAB-002-F-G,Free,Gold,22
Bridal Dupatta,BAN-ACC-001,Accessories,2600,,30,Bandhan,Accessories|Bridal Collection,Bridal dupatta,Decorative dupatta for bridal styling,Net,Bridal,Ready to wear,true,false,true,false,false,Bridal Dupatta,Bridal accessory,BAN-ACC-001-F-R,Free,Red,30
Gold Bangles Set,BAN-ACC-002,Accessories,1500,,35,Bandhan,Accessories,Gold tone bangles,Accessory set for festive styling,Metal,Puja,Ready to wear,true,false,false,true,false,Gold Bangles Set,Gold tone bangles,BAN-ACC-002-F-G,Free,Gold,35
Puja Cotton Saree,BAN-PUJ-001,Sarees,4800,4100,13,Bandhan,Puja Collection,Comfort puja saree,Cotton saree designed for puja comfort,Cotton,Puja,Unstitched,true,true,true,false,true,Puja Cotton Saree,Cotton puja saree,BAN-PUJ-001-F-I,Free,Ivory,13
Puja Offer Kurti,BAN-PUJ-002,Kurtis,2600,2100,24,Bandhan,Puja Collection|Sale,Puja offer kurti,Affordable festive kurti for puja season,Cotton,Puja,Stitched,true,false,true,true,true,Puja Offer Kurti,Puja discount kurti,BAN-PUJ-002-M-R,M,Rose,24
Party Wear Three Piece,BAN-PAR-001,Three-piece Sets,6900,6100,11,Bandhan,Party Wear,Party three piece,Premium three-piece set for evening wear,Chiffon,Party,Unstitched,true,true,false,true,true,Party Wear Three Piece,Party wear three piece,BAN-PAR-001-L-B,L,Burgundy,11
Wedding Kameez Set,BAN-BRI-001,Salwar Kameez,11200,,6,Bandhan,Bridal Collection,Wedding kameez set,Wedding-ready kameez set with rich finishing,Silk,Wedding,Stitched,true,true,false,true,false,Wedding Kameez Set,Wedding salwar kameez,BAN-BRI-001-M-G,M,Gold,6
Festive Two Piece Rose,BAN-TWO-002,Two-piece Sets,4400,3900,17,Bandhan,Puja Collection|New Arrivals,Festive two piece,Rose two-piece festive set,Viscose,Puja,Stitched,true,false,true,false,true,Festive Two Piece Rose,Rose festive two piece,BAN-TWO-002-L-R,L,Rose,17
Elegant Bridal Saree,BAN-BRI-002,Bridal Clothing,15800,14200,4,Bandhan,Bridal Collection,Bridal saree,Refined bridal saree with premium border,Silk,Bridal,Ready to wear,true,true,true,true,true,Elegant Bridal Saree,Premium bridal saree,BAN-BRI-002-F-R,Free,Red,4
